"Date","Offense type","Observations"
2021-06-30,"Homicide",9.4
2021-06-30,"Illicit Drug Offences",9.7
2021-06-30,"Robbery, Extortion",7.6
2021-06-30,"Offences Against Justice",4.9
2021-06-30,"Theft",4
2021-06-30,"Abduction, Harassment",3.3
2021-06-30,"Prohibited And Regulated Weapons",2
2021-06-30,"Traffic",1.8
2021-06-30,"Fraud, Deception",1.9
2021-06-30,"Property Damage",1.3
2021-06-30,"Public Order",0.8
2021-06-30,"Dangerous Or Negligent Acts",0.6
2021-06-30,"Miscellaneous Offences",0.1
2021-06-30,"Unknown",0.2
2021-06-30,"Violence",0
2021-06-30,"Drugs",0
2021-06-30,"Dishonesty",0
2021-06-30,"Other",0
2021-06-30,"Weapons",0
2021-06-30,"Breaches",0
2021-09-30,"Sexual Assault",22.8
2021-09-30,"Acts Intended To Cause Injury",20.2
2021-09-30,"Unlawful Entry With Intent/Burglary",9.9
2021-09-30,"Homicide",9.5
2021-09-30,"Illicit Drug Offences",9.6
2021-09-30,"Robbery, Extortion",7.9
2021-09-30,"Offences Against Justice",5.3
2021-09-30,"Theft",3.9
2021-09-30,"Abduction, Harassment",3.3
2021-09-30,"Prohibited And Regulated Weapons",1.8
2021-09-30,"Traffic",1.6
2021-09-30,"Fraud, Deception",1.7
2021-09-30,"Property Damage",1.2
2021-09-30,"Public Order",0.7
2021-09-30,"Dangerous Or Negligent Acts",0.4
2021-09-30,"Miscellaneous Offences",0
2021-09-30,"Unknown",0.2
2021-09-30,"Violence",0
2021-09-30,"Drugs",0
2021-09-30,"Dishonesty",0
2021-09-30,"Other",0
2021-09-30,"Weapons",0
2021-09-30,"Breaches",0
2021-12-31,"Sexual Assault",23.4
2021-12-31,"Acts Intended To Cause Injury",20.2
2021-12-31,"Unlawful Entry With Intent/Burglary",10.1
2021-12-31,"Homicide",9.8
2021-12-31,"Illicit Drug Offences",9.3
2021-12-31,"Robbery, Extortion",7.6
2021-12-31,"Offences Against Justice",5.1
2021-12-31,"Theft",3.4
2021-12-31,"Abduction, Harassment",3.6
2021-12-31,"Prohibited And Regulated Weapons",1.8
2021-12-31,"Traffic",1.5
2021-12-31,"Fraud, Deception",1.5
2021-12-31,"Property Damage",1.3
2021-12-31,"Public Order",0.6
2021-12-31,"Dangerous Or Negligent Acts",0.6
2021-12-31,"Miscellaneous Offences",0.1
2021-12-31,"Unknown",0.1
2021-12-31,"Violence",0
2021-12-31,"Drugs",0
2021-12-31,"Dishonesty",0
2021-12-31,"Other",0
2021-12-31,"Weapons",0
2021-12-31,"Breaches",0
2022-03-31,"Sexual Assault",23
2022-03-31,"Acts Intended To Cause Injury",20.9
2022-03-31,"Unlawful Entry With Intent/Burglary",10
2022-03-31,"Homicide",9.9
2022-03-31,"Illicit Drug Offences",8.3
2022-03-31,"Robbery, Extortion",7.6
2022-03-31,"Offences Against Justice",5.3
2022-03-31,"Theft",3.8
2022-03-31,"Abduction, Harassment",3.3
2022-03-31,"Prohibited And Regulated Weapons",2
2022-03-31,"Traffic",1.7
2022-03-31,"Fraud, Deception",1.7
2022-03-31,"Property Damage",1.3
2022-03-31,"Public Order",0.6
2022-03-31,"Dangerous Or Negligent Acts",0.4
2022-03-31,"Miscellaneous Offences",0.1
2022-03-31,"Unknown",0.1
2022-03-31,"Violence",0
2022-03-31,"Drugs",0
2022-03-31,"Dishonesty",0
2022-03-31,"Other",0
2022-03-31,"Weapons",0
2022-03-31,"Breaches",0
2022-06-30,"Sexual Assault",22.9
